"chr"	"cl"	"feature_n"	"emp.pval"
"chr22"	"50kb_12_66_47200000_47750000"	5	1
"chr22"	"50kb_22_231_47800000_48850000"	3	1
"chr22"	"50kb_22_231_48900000_49950000"	4	1
"chr22"	"100kb_4_6_50200000_50500000"	29	0.454545454545455
"chr22"	"100kb_2_1_50000000_50100000"	2	1
"chr22"	"50kb_4_6_50800000_50950000"	29	0.272727272727273
"chr22"	"50kb_4_6_50600000_50750000"	47	0.0909090909090909
"chr22"	"50kb_13_78_34950000_35550000"	4	1
"chr22"	"50kb_8_28_34550000_34900000"	2	0.909090909090909
"chr22"	"50kb_10_45_34050000_34500000"	5	1
"chr22"	"50kb_3_3_35600000_35700000"	15	0.0909090909090909
"chr22"	"50kb_5_10_35750000_35950000"	16	0.272727272727273
"chr22"	"50kb_8_28_33000000_33350000"	63	0.0909090909090909
"chr22"	"50kb_7_21_23650000_23950000"	4	1
"chr22"	"50kb_6_15_23350000_23600000"	13	0.818181818181818
"chr22"	"50kb_8_28_22700000_23050000"	2	1
"chr22"	"50kb_3_3_22550000_22650000"	2	1
"chr22"	"50kb_4_6_22350000_22500000"	1	1
"chr22"	"10kb_4_6_22310000_22340000"	3	0.727272727272727
"chr22"	"10kb_31_465_22000000_22300000"	16	0.727272727272727
"chr22"	"50kb_5_10_26750000_26950000"	17	0.909090909090909
"chr22"	"50kb_11_55_25700000_26700000"	11	1
"chr22"	"50kb_5_10_26200000_26400000"	3	1
"chr22"	"50kb_5_10_26450000_26650000"	1	1
"chr22"	"50kb_5_10_25450000_25650000"	9	0.909090909090909
"chr22"	"50kb_3_3_25300000_25400000"	6	0.363636363636364
"chr22"	"50kb_3_3_25000000_25100000"	3	1
"chr22"	"50kb_4_6_27000000_27150000"	9	0.727272727272727
"chr22"	"50kb_11_55_27200000_27700000"	10	0.727272727272727
"chr22"	"50kb_4_6_28050000_28200000"	14	0.0909090909090909
"chr22"	"50kb_6_15_27750000_28000000"	6	0.454545454545455
"chr22"	"50kb_7_21_28650000_28950000"	3	1
"chr22"	"50kb_4_6_28450000_28600000"	1	0.909090909090909
"chr22"	"50kb_3_3_28250000_28350000"	9	0.545454545454545
"chr22"	"50kb_5_10_19650000_19850000"	16	0.636363636363636
"chr22"	"50kb_2_1_19900000_19950000"	22	0.0909090909090909
"chr22"	"50kb_7_21_19000000_19300000"	16	1
"chr22"	"50kb_6_15_19350000_19600000"	21	0.545454545454545
"chr22"	"50kb_30_435_30000000_31450000"	122	0.0909090909090909
"chr22"	"50kb_20_190_29000000_29950000"	71	0.272727272727273
"chr22"	"50kb_13_78_32350000_32950000"	40	0.636363636363636
"chr22"	"50kb_17_136_31500000_32300000"	66	0.363636363636364
"chr22"	"50kb_4_6_24000000_24150000"	21	0.818181818181818
"chr22"	"50kb_2_1_24200000_24250000"	12	0.545454545454545
"chr22"	"50kb_7_21_24650000_24950000"	19	1
"chr22"	"50kb_7_21_24300000_24600000"	23	0.909090909090909
"chr22"	"50kb_5_10_37000000_37200000"	4	1
"chr22"	"50kb_6_15_37250000_37500000"	16	1
"chr22"	"50kb_6_15_37550000_37800000"	38	0.727272727272727
"chr22"	"50kb_3_3_37850000_37950000"	24	0.0909090909090909
"chr22"	"50kb_4_6_38000000_38150000"	42	0.0909090909090909
"chr22"	"50kb_4_6_38200000_38350000"	46	0.0909090909090909
"chr22"	"50kb_6_15_38800000_39050000"	56	0.0909090909090909
"chr22"	"50kb_8_28_38400000_38750000"	40	0.181818181818182
"chr22"	"50kb_17_136_39900000_40700000"	40	0.545454545454545
"chr22"	"50kb_11_55_40750000_41250000"	31	0.363636363636364
"chr22"	"50kb_9_36_39100000_39500000"	53	0.0909090909090909
"chr22"	"50kb_7_21_39550000_39850000"	26	0.545454545454545
"chr22"	"50kb_7_21_41300000_41600000"	22	0.181818181818182
"chr22"	"50kb_8_28_41650000_42000000"	48	0.0909090909090909
"chr22"	"50kb_9_36_42350000_42750000"	29	0.545454545454545
"chr22"	"50kb_6_15_42050000_42300000"	29	0.454545454545455
"chr22"	"50kb_2_1_43550000_43800000"	8	0.818181818181818
"chr22"	"50kb_10_45_43050000_43500000"	28	0.363636363636364
"chr22"	"50kb_3_3_42900000_43000000"	39	0.0909090909090909
"chr22"	"50kb_2_1_42800000_42850000"	3	0.818181818181818
"chr22"	"50kb_14_91_44350000_45000000"	30	0.909090909090909
"chr22"	"50kb_7_21_45050000_45350000"	7	1
"chr22"	"50kb_7_21_43850000_44150000"	2	1
"chr22"	"50kb_7_21_43600000_44300000"	10	1
"chr22"	"50kb_3_3_46250000_46350000"	3	0.818181818181818
"chr22"	"50kb_6_15_45950000_46200000"	18	0.0909090909090909
"chr22"	"50kb_4_6_45400000_45550000"	7	1
"chr22"	"50kb_7_21_45600000_45900000"	46	0.0909090909090909
"chr22"	"10kb_12_66_46400000_46510000"	35	0.0909090909090909
"chr22"	"10kb_23_253_46520000_46740000"	13	1
"chr22"	"50kb_3_3_46750000_46850000"	1	1
"chr22"	"50kb_2_1_46900000_46950000"	9	0.0909090909090909
"chr22"	"50kb_1_0_17200000_17200000"	1	1
"chr22"	"10kb_14_91_17800000_17940000"	1	0.909090909090909
"chr22"	"50kb_1_0_17650000_17650000"	3	0.636363636363636
"chr22"	"50kb_2_1_17700000_17750000"	1	0.909090909090909
"chr22"	"10kb_10_45_17550000_17640000"	10	0.909090909090909
"chr22"	"10kb_5_10_17950000_17990000"	1	0.818181818181818
"chr22"	"10kb_9_36_47110000_47190000"	11	0.0909090909090909
"chr22"	"10kb_11_55_47000000_47100000"	3	1
"chr22"	"50kb_7_21_47200000_47500000"	3	0.909090909090909
"chr22"	"50kb_5_10_47550000_47750000"	2	1
"chr22"	"50kb_12_66_47800000_48350000"	2	1
"chr22"	"50kb_10_45_48400000_48850000"	1	1
"chr22"	"50kb_11_55_48900000_49400000"	1	1
"chr22"	"50kb_11_55_49450000_49950000"	3	1
"chr22"	"50kb_3_3_50200000_50300000"	18	0.0909090909090909
"chr22"	"50kb_5_10_50350000_50550000"	11	1
"chr22"	"50kb_2_1_50000000_50050000"	2	0.818181818181818
"chr22"	"10kb_15_105_50800000_50940000"	13	0.909090909090909
"chr22"	"10kb_5_10_50950000_50990000"	17	0.0909090909090909
"chr22"	"50kb_2_1_50700000_50750000"	28	0.0909090909090909
"chr22"	"50kb_2_1_50600000_50650000"	19	0.636363636363636
"chr22"	"50kb_7_21_34950000_35250000"	2	1
"chr22"	"50kb_6_15_35300000_35550000"	2	1
"chr22"	"50kb_5_10_34550000_34750000"	2	0.818181818181818
"chr22"	"50kb_5_10_34050000_34250000"	3	0.909090909090909
"chr22"	"50kb_5_10_34300000_34500000"	2	1
"chr22"	"50kb_1_0_35700000_35700000"	12	0.0909090909090909
"chr22"	"50kb_2_1_35600000_35650000"	3	0.909090909090909
"chr22"	"10kb_10_45_35750000_35990000"	10	0.272727272727273
"chr22"	"10kb_15_105_35830000_35970000"	6	0.454545454545455
"chr22"	"50kb_4_6_33200000_33350000"	56	0.0909090909090909
"chr22"	"50kb_4_6_33000000_33150000"	7	0.363636363636364
"chr22"	"50kb_3_3_23650000_23750000"	3	0.909090909090909
"chr22"	"50kb_4_6_23800000_23950000"	1	1
"chr22"	"50kb_3_3_23350000_23450000"	7	0.454545454545455
"chr22"	"50kb_3_3_23500000_23600000"	6	0.909090909090909
"chr22"	"50kb_5_10_22850000_23050000"	2	1
"chr22"	"50kb_1_0_22650000_22650000"	1	1
"chr22"	"50kb_2_1_22550000_22600000"	1	1
"chr22"	"50kb_2_1_22350000_22400000"	1	1
"chr22"	"10kb_2_1_22330000_22340000"	3	0.363636363636364
"chr22"	"10kb_9_36_22000000_22080000"	4	0.909090909090909
"chr22"	"10kb_22_231_22090000_22300000"	12	0.545454545454545
"chr22"	"10kb_13_78_26750000_26870000"	10	0.818181818181818
"chr22"	"10kb_12_66_26880000_26990000"	7	1
"chr22"	"50kb_5_10_25700000_26700000"	4	1
"chr22"	"50kb_6_15_25850000_26100000"	7	1
"chr22"	"50kb_3_3_26300000_26400000"	2	1
"chr22"	"50kb_2_1_26200000_26250000"	1	0.727272727272727
"chr22"	"50kb_3_3_26550000_26650000"	1	1
"chr22"	"50kb_3_3_25450000_25550000"	9	0.0909090909090909
"chr22"	"50kb_2_1_25350000_25400000"	2	0.636363636363636
"chr22"	"50kb_1_0_25300000_25300000"	4	0.272727272727273
"chr22"	"50kb_1_0_25000000_25000000"	3	0.818181818181818
"chr22"	"50kb_2_1_27100000_27150000"	3	0.363636363636364
"chr22"	"50kb_2_1_27000000_27050000"	6	0.818181818181818
"chr22"	"50kb_6_15_27450000_27700000"	9	0.272727272727273
"chr22"	"50kb_5_10_27200000_27400000"	1	1
"chr22"	"50kb_2_1_28050000_28100000"	5	0.0909090909090909
"chr22"	"50kb_2_1_28150000_28200000"	9	0.0909090909090909
"chr22"	"10kb_27_351_27780000_28040000"	6	0.363636363636364
"chr22"	"50kb_3_3_28850000_28950000"	1	0.909090909090909
"chr22"	"50kb_4_6_28650000_28800000"	2	1
"chr22"	"10kb_11_55_28450000_28550000"	1	0.636363636363636
"chr22"	"10kb_14_91_28260000_28390000"	9	0.545454545454545
"chr22"	"10kb_7_21_19650000_19710000"	4	0.818181818181818
"chr22"	"10kb_18_153_19720000_19890000"	12	0.454545454545455
"chr22"	"10kb_5_10_19900000_19940000"	10	0.454545454545455
"chr22"	"10kb_5_10_19950000_19990000"	12	0.0909090909090909
"chr22"	"50kb_4_6_19150000_19300000"	10	0.636363636363636
"chr22"	"50kb_3_3_19000000_19100000"	6	1
"chr22"	"10kb_19_171_19460000_19640000"	8	0.727272727272727
"chr22"	"10kb_11_55_19350000_19450000"	13	0.272727272727273
"chr22"	"50kb_16_120_30000000_30750000"	69	0.0909090909090909
"chr22"	"50kb_14_91_30800000_31450000"	53	0.545454545454545
"chr22"	"50kb_13_78_29000000_29600000"	41	0.0909090909090909
"chr22"	"50kb_7_21_29650000_29950000"	30	0.454545454545455
"chr22"	"50kb_10_45_32350000_32800000"	29	0.545454545454545
"chr22"	"50kb_3_3_32850000_32950000"	11	0.545454545454545
"chr22"	"50kb_10_45_31850000_32300000"	34	0.636363636363636
"chr22"	"50kb_7_21_31500000_31800000"	32	0.272727272727273
"chr22"	"50kb_2_1_24000000_24050000"	7	1
"chr22"	"50kb_2_1_24100000_24150000"	14	0.363636363636364
"chr22"	"50kb_3_3_24650000_24750000"	6	0.636363636363636
"chr22"	"50kb_4_6_24800000_24950000"	13	1
"chr22"	"50kb_4_6_24300000_24450000"	14	0.727272727272727
"chr22"	"50kb_3_3_24500000_24600000"	9	0.818181818181818
"chr22"	"10kb_15_105_37000000_37140000"	1	0.909090909090909
"chr22"	"10kb_10_45_37150000_37240000"	3	1
"chr22"	"10kb_13_78_37410000_37540000"	10	0.636363636363636
"chr22"	"10kb_17_136_37250000_37420000"	6	0.909090909090909
"chr22"	"10kb_15_105_37550000_37690000"	30	0.0909090909090909
"chr22"	"10kb_15_105_37700000_37840000"	8	1
"chr22"	"10kb_7_21_37930000_37990000"	19	0.0909090909090909
"chr22"	"10kb_8_28_37850000_37920000"	5	0.818181818181818
"chr22"	"10kb_12_66_38080000_38190000"	13	0.181818181818182
"chr22"	"10kb_8_28_38000000_38070000"	29	0.0909090909090909
"chr22"	"10kb_14_91_38200000_38330000"	42	0.0909090909090909
"chr22"	"10kb_6_15_38340000_38390000"	4	1
"chr22"	"10kb_17_136_38800000_38960000"	36	0.0909090909090909
"chr22"	"10kb_13_78_38970000_39090000"	20	0.0909090909090909
"chr22"	"50kb_5_10_38400000_38600000"	19	0.636363636363636
"chr22"	"50kb_3_3_38650000_38750000"	21	0.181818181818182
"chr22"	"50kb_6_15_40450000_40700000"	18	0.0909090909090909
"chr22"	"50kb_11_55_39900000_40400000"	22	1
"chr22"	"50kb_6_15_40750000_41000000"	20	0.0909090909090909
"chr22"	"50kb_5_10_41050000_41250000"	11	0.818181818181818
"chr22"	"50kb_4_6_39100000_39250000"	30	0.0909090909090909
"chr22"	"50kb_5_10_39300000_39500000"	23	0.181818181818182
"chr22"	"50kb_4_6_39550000_39700000"	20	0.0909090909090909
"chr22"	"50kb_3_3_39750000_39850000"	6	1
"chr22"	"50kb_4_6_41300000_41450000"	14	0.0909090909090909
"chr22"	"50kb_3_3_41500000_41600000"	8	0.545454545454545
"chr22"	"50kb_5_10_41650000_41850000"	32	0.0909090909090909
"chr22"	"50kb_3_3_41900000_42000000"	16	0.0909090909090909
"chr22"	"50kb_5_10_42550000_42750000"	11	0.363636363636364
"chr22"	"50kb_4_6_42350000_42500000"	18	0.818181818181818
"chr22"	"10kb_29_405_42060000_42340000"	29	0.454545454545455
"chr22"	"50kb_4_6_43050000_43200000"	8	0.363636363636364
"chr22"	"50kb_6_15_43250000_43500000"	20	0.454545454545455
"chr22"	"50kb_1_0_42900000_42900000"	5	1
"chr22"	"50kb_2_1_42950000_43000000"	34	0.0909090909090909
"chr22"	"10kb_4_6_42800000_42830000"	2	0.636363636363636
"chr22"	"10kb_6_15_42840000_42890000"	2	0.636363636363636
"chr22"	"50kb_6_15_44700000_44950000"	15	0.454545454545455
"chr22"	"50kb_8_28_44350000_45000000"	15	1
"chr22"	"50kb_3_3_45050000_45150000"	4	1
"chr22"	"50kb_4_6_45200000_45350000"	3	0.909090909090909
"chr22"	"50kb_3_3_43850000_43950000"	1	1
"chr22"	"50kb_4_6_44000000_44150000"	1	1
"chr22"	"50kb_3_3_44200000_44300000"	5	1
"chr22"	"50kb_4_6_43600000_43750000"	5	0.727272727272727
"chr22"	"10kb_12_66_46250000_46360000"	1	1
"chr22"	"10kb_3_3_46370000_46390000"	2	0.363636363636364
"chr22"	"10kb_17_136_46080000_46240000"	4	0.545454545454545
"chr22"	"10kb_13_78_45950000_46070000"	15	0.0909090909090909
"chr22"	"50kb_2_1_45400000_45450000"	1	1
"chr22"	"50kb_2_1_45500000_45550000"	6	0.909090909090909
"chr22"	"10kb_30_435_45650000_45940000"	37	0.0909090909090909
"chr22"	"10kb_5_10_45600000_45640000"	10	0.272727272727273
"chr22"	"5kb_15_105_46400000_46515000"	27	0.0909090909090909
"chr22"	"5kb_9_36_46405000_46445000"	10	0.0909090909090909
"chr22"	"10kb_15_105_46540000_46680000"	8	1
"chr22"	"10kb_8_28_46520000_46740000"	5	1
"chr22"	"10kb_7_21_46830000_46890000"	1	0.454545454545455
"chr22"	"10kb_5_10_46900000_46940000"	7	0.0909090909090909
"chr22"	"10kb_5_10_46950000_46990000"	2	0.363636363636364
"chr22"	"10kb_8_28_17800000_17880000"	1	0.818181818181818
"chr22"	"10kb_3_3_17650000_17670000"	3	0.181818181818182
"chr22"	"10kb_4_6_17550000_17580000"	4	0.272727272727273
"chr22"	"10kb_6_15_17590000_17640000"	6	0.909090909090909
"chr22"	"10kb_3_3_17950000_17970000"	1	0.818181818181818
"chr22"	"10kb_4_6_47110000_47140000"	2	0.272727272727273
"chr22"	"10kb_5_10_47150000_47190000"	9	0.0909090909090909
"chr22"	"10kb_5_10_47060000_47100000"	3	0.909090909090909
"chr22"	"50kb_3_3_47400000_47500000"	3	0.636363636363636
"chr22"	"50kb_3_3_47550000_47650000"	2	1
"chr22"	"50kb_6_15_48100000_48350000"	1	1
"chr22"	"50kb_6_15_47800000_48050000"	1	1
"chr22"	"50kb_5_10_48650000_48850000"	1	1
"chr22"	"50kb_5_10_48900000_49100000"	1	1
"chr22"	"50kb_5_10_49450000_49650000"	2	1
"chr22"	"50kb_6_15_49700000_49950000"	1	1
"chr22"	"10kb_3_3_50320000_50340000"	3	0.0909090909090909
"chr22"	"10kb_12_66_50200000_50310000"	15	0.272727272727273
"chr22"	"50kb_2_1_50500000_50550000"	1	1
"chr22"	"50kb_3_3_50350000_50450000"	10	0.272727272727273
"chr22"	"10kb_7_21_50880000_50940000"	12	0.545454545454545
"chr22"	"10kb_8_28_50800000_50870000"	1	0.909090909090909
"chr22"	"5kb_4_6_50980000_50995000"	3	0.545454545454545
"chr22"	"5kb_6_15_50950000_50975000"	14	0.0909090909090909
"chr22"	"10kb_8_28_50700000_50770000"	26	0.0909090909090909
"chr22"	"10kb_2_1_50780000_50790000"	2	0.363636363636364
"chr22"	"10kb_4_6_50660000_50690000"	7	0.818181818181818
"chr22"	"10kb_6_15_50600000_50650000"	12	0.272727272727273
"chr22"	"50kb_3_3_35150000_35250000"	1	1
"chr22"	"50kb_4_6_34950000_35100000"	1	0.909090909090909
"chr22"	"50kb_3_3_35300000_35400000"	1	0.909090909090909
"chr22"	"50kb_3_3_35450000_35550000"	1	1
"chr22"	"50kb_3_3_34650000_34750000"	2	0.818181818181818
"chr22"	"50kb_3_3_34050000_34150000"	2	1
"chr22"	"50kb_2_1_34200000_34250000"	1	0.818181818181818
"chr22"	"50kb_2_1_34300000_34350000"	2	0.909090909090909
"chr22"	"5kb_5_10_35700000_35720000"	1	0.454545454545455
"chr22"	"5kb_5_10_35725000_35745000"	11	0.0909090909090909
"chr22"	"10kb_5_10_35650000_35690000"	3	0.909090909090909
"chr22"	"10kb_4_6_35810000_35990000"	3	0.363636363636364
"chr22"	"10kb_6_15_35750000_35800000"	7	0.545454545454545
"chr22"	"10kb_8_28_35830000_35900000"	3	0.181818181818182
"chr22"	"10kb_7_21_35910000_35970000"	3	0.727272727272727
"chr22"	"10kb_10_45_33200000_33390000"	56	0.0909090909090909
"chr22"	"50kb_2_1_33050000_33100000"	2	0.363636363636364
"chr22"	"50kb_2_1_33000000_33150000"	5	0.545454545454545
"chr22"	"50kb_2_1_23650000_23700000"	3	0.909090909090909
"chr22"	"50kb_2_1_23900000_23950000"	1	1
"chr22"	"10kb_9_36_23350000_23440000"	4	0.272727272727273
"chr22"	"10kb_6_15_23430000_23490000"	3	0.636363636363636
"chr22"	"10kb_10_45_23520000_23610000"	4	0.727272727272727
"chr22"	"10kb_5_10_23500000_23640000"	2	1
"chr22"	"50kb_3_3_22850000_22950000"	2	1
"chr22"	"10kb_2_1_22650000_22660000"	1	0.909090909090909
"chr22"	"10kb_4_6_22410000_22440000"	1	0.272727272727273
"chr22"	"5kb_2_1_22330000_22335000"	3	0.272727272727273
"chr22"	"10kb_4_6_22000000_22030000"	4	0.727272727272727
"chr22"	"10kb_8_28_22230000_22300000"	4	0.636363636363636
"chr22"	"10kb_14_91_22090000_22220000"	8	0.454545454545455
"chr22"	"10kb_9_36_26790000_26870000"	9	0.818181818181818
"chr22"	"10kb_4_6_26750000_26780000"	1	1
"chr22"	"10kb_5_10_26880000_26920000"	2	0.909090909090909
"chr22"	"10kb_7_21_26930000_26990000"	5	0.636363636363636
"chr22"	"50kb_3_3_25700000_25800000"	4	0.818181818181818
"chr22"	"50kb_3_3_25950000_26050000"	5	0.181818181818182
"chr22"	"50kb_3_3_25850000_26100000"	2	1
"chr22"	"10kb_14_91_26300000_26440000"	2	1
"chr22"	"10kb_6_15_26240000_26290000"	1	0.454545454545455
"chr22"	"10kb_14_91_26550000_26690000"	1	1
"chr22"	"10kb_10_45_25500000_25590000"	9	0.0909090909090909
"chr22"	"5kb_5_10_25325000_25345000"	4	0.0909090909090909
"chr22"	"10kb_28_377_27450000_27740000"	9	0.181818181818182
"chr22"	"10kb_12_66_27200000_27330000"	1	1
"chr22"	"10kb_5_10_28100000_28140000"	5	0.0909090909090909
"chr22"	"10kb_18_153_27780000_27950000"	6	0.181818181818182
"chr22"	"10kb_14_91_28860000_28990000"	1	0.909090909090909
"chr22"	"10kb_19_171_28650000_28840000"	2	1
"chr22"	"10kb_6_15_28500000_28550000"	1	0.363636363636364
"chr22"	"10kb_9_36_28310000_28390000"	6	0.636363636363636
"chr22"	"10kb_5_10_28260000_28300000"	3	0.272727272727273
"chr22"	"10kb_2_1_19700000_19710000"	4	0.818181818181818
"chr22"	"10kb_8_28_19720000_19890000"	5	0.363636363636364
"chr22"	"10kb_10_45_19770000_19860000"	7	0.636363636363636
"chr22"	"10kb_3_3_19900000_19920000"	7	0.0909090909090909
"chr22"	"10kb_2_1_19930000_19940000"	3	0.909090909090909
"chr22"	"10kb_2_1_19980000_19990000"	1	0.0909090909090909
"chr22"	"10kb_3_3_19950000_19970000"	11	0.0909090909090909
"chr22"	"10kb_12_66_19150000_19260000"	8	0.545454545454545
"chr22"	"10kb_8_28_19270000_19340000"	2	0.727272727272727
"chr22"	"10kb_14_91_19000000_19140000"	6	1
"chr22"	"10kb_10_45_19480000_19570000"	2	1
"chr22"	"10kb_9_36_19460000_19640000"	6	0.181818181818182
"chr22"	"10kb_4_6_19420000_19450000"	5	0.727272727272727
"chr22"	"10kb_7_21_19350000_19410000"	8	0.0909090909090909
"chr22"	"50kb_10_45_30000000_30450000"	18	0.909090909090909
"chr22"	"50kb_6_15_30500000_30750000"	51	0.0909090909090909
"chr22"	"50kb_7_21_30800000_31100000"	30	0.454545454545455
"chr22"	"50kb_7_21_31150000_31450000"	23	0.545454545454545
